condition,id,baseline_car1,update_car1
Sign Top,2225,118586,120086
Sign Top,2226,214,34529
Sign Top,2227,61320,100962
Sign Bottom,2228,109840,144239
Sign Top,2229,155254,188211
Sign Bottom,2230,112350,128191
Sign Top,2231,7163,42330
Sign Bottom,2232,71942,88163
Sign Bottom,2233,45312,84649
Sign Bottom,2234,16642,56539
Sign Bottom,2235,7260,11451
Sign Bottom,2236,124652,150165
Sign Bottom,2237,30065,49887
Sign Bottom,2238,26271,47222
Sign Bottom,2239,92313,102796
Sign Bottom,2240,144050,150178
Sign Bottom,2241,1614,23284
Sign Top,2242,80000,93572
Sign Bottom,2243,116000,147439
Sign Bottom,2244,132144,135548
Sign Bottom,2245,177964,182459
Sign Top,2246,27652,72595
Sign Bottom,2247,50175,70641
Sign Bottom,2248,149333,176521
Sign Top,2249,124963,153283
Sign Bottom,2250,69249,69506
Sign Bottom,2251,79358,111787
Sign Top,2252,69518,95565
Sign Top,2253,523,7648
Sign Bottom,2254,95635,137452
Sign Bottom,2255,27519,61537
Sign Bottom,2256,28337,75363
Sign Bottom,2257,23458,28732
Sign Bottom,2258,34333,49742
Sign Bottom,2259,81141,86028
Sign Bottom,2260,21328,42612
Sign Bottom,2261,39370,63127
Sign Bottom,2262,93194,94548
Sign Top,2263,200000,203815
Sign Bottom,2264,178646,188561
Sign Top,2265,60844,74979
Sign Top,2266,87000,108382
Sign Top,2267,721,22333
Sign Bottom,2268,40272,65052
Sign Top,2269,83000,125951
Sign Bottom,2270,82948,107619
Sign Top,2271,1046,2330
Sign Bottom,2272,173246,174200
Sign Bottom,2273,69860,84750
Sign Top,2274,9250,50142
Sign Bottom,2275,29746,57742
Sign Top,2276,80620,111942
Sign Top,2277,3008,11001
Sign Bottom,2278,1900,47179
Sign Top,2279,56833,98768
Sign Top,2280,102662,122855
Sign Top,2281,33825,51129
Sign Top,2282,59736,85826
Sign Bottom,2283,4573,10162
Sign Bottom,2284,109071,111579
Sign Bottom,2285,45391,70979
Sign Bottom,2286,15098,38358
Sign Bottom,2287,39195,69700
Sign Top,2288,39000,46781
Sign Bottom,2289,21672,58568
Sign Top,2290,15500,25121
Sign Top,2291,75245,82575
Sign Top,2292,44276,84995
Sign Top,2293,270000,304281
Sign Bottom,2294,61518,100998
Sign Top,2295,229,47459
Sign Bottom,2296,42814,44415
Sign Bottom,2297,236864,267213
Sign Bottom,2298,54210,98167
Sign Top,2299,220000,264322
Sign Bottom,2300,184795,211676
Sign Top,2301,828,31217
Sign Top,2302,75758,115200
Sign Top,2303,94707,96790
Sign Bottom,2304,53040,88684
Sign Top,2305,76041,124512
Sign Bottom,2306,110558,137171
Sign Top,2307,50207,99328
Sign Top,2308,0,7115
Sign Bottom,2309,104636,137802
Sign Bottom,2310,115061,164535
Sign Top,2311,105000,119662
Sign Bottom,2312,134800,155294
Sign Bottom,2313,68263,74112
Sign Bottom,2314,30088,31430
Sign Bottom,2315,592,14590
Sign Top,2316,58719,85539
Sign Bottom,2317,139686,149583
Sign Bottom,2318,169194,172117
Sign Top,2319,81268,95151
Sign Top,2320,172,16708
Sign Bottom,2321,13547,62876
Sign Bottom,2322,40914,85299
Sign Bottom,2323,28700,67326
Sign Bottom,2324,417041,450896
Sign Top,2325,60000,87379
Sign Bottom,2326,67381,76510
Sign Top,2327,18750,45298
Sign Top,2328,193490,228828
Sign Top,2329,39840,39986
Sign Top,2330,34648,79148
Sign Top,2331,41085,72914
Sign Bottom,2332,7214,14985
Sign Top,2333,88494,129950
Sign Bottom,2334,7941,41477
Sign Top,2335,228615,267920
Sign Bottom,2336,81000,84589
Sign Bottom,2337,55120,85475
Sign Bottom,2338,13620,14865
Sign Top,2339,12500,46015
Sign Top,2340,62110,107659
Sign Bottom,2341,102066,142416
Sign Bottom,2342,38676,45539
Sign Bottom,2343,25976,39669
Sign Top,2344,148633,167132
Sign Bottom,2345,722,39288
Sign Bottom,2346,118634,133885
Sign Bottom,2347,147927,149512
Sign Top,2348,32192,32555
Sign Bottom,2349,23860,25393
Sign Top,2350,55243,80432
Sign Top,2351,60653,71995
Sign Top,2352,31436,81329
Sign Top,2353,82753,114944
Sign Top,2354,61890,73725
Sign Top,2355,3400,13566
Sign Top,2356,10566,52642
Sign Top,2357,39453,41180
Sign Top,2358,140000,182498
Sign Top,2359,59,29324
Sign Top,2360,27233,64412
Sign Bottom,2361,150718,179628
Sign Bottom,2362,195,1237
Sign Top,2363,4935,43622
Sign Bottom,2364,50481,90012
Sign Top,2365,42625,50336
Sign Bottom,2366,60402,101884
Sign Top,2367,52199,77080
Sign Bottom,2368,114213,163409
Sign Bottom,2369,56701,65579
Sign Top,2370,51251,72286
Sign Bottom,2371,20707,61659
Sign Top,2372,28291,61511
Sign Bottom,2373,52056,78140
Sign Bottom,2374,6614,50421
Sign Bottom,2375,103071,114820
Sign Bottom,2376,88115,115972
Sign Top,2377,103111,114546
Sign Bottom,2378,175203,184724
Sign Top,2379,2152,48051
Sign Top,2380,16047,23858
Sign Top,2381,105050,149659
Sign Bottom,2382,15630,19035
Sign Bottom,2383,117263,119384
Sign Top,2384,48464,91913
Sign Top,2385,15656,53224
Sign Bottom,2386,147008,188162
Sign Bottom,2387,94730,114280
Sign Bottom,2388,19950,47489
Sign Bottom,2389,52718,87732
Sign Bottom,2390,21536,66697
Sign Top,2391,343000,378376
Sign Bottom,2392,3481,41767
Sign Bottom,2393,70250,91206
Sign Top,2394,103557,142342
Sign Top,2395,56000,85313
Sign Top,2396,29499,38861
Sign Top,2397,50000,92328
Sign Bottom,2398,111823,118370
Sign Top,2399,1700,47160
Sign Top,2400,87762,92408
Sign Bottom,2401,135500,154676
Sign Top,2402,50409,85663
Sign Bottom,2403,85190,95921
Sign Bottom,2404,38443,49167
Sign Top,2405,105686,132989
Sign Bottom,2406,40525,56388
Sign Bottom,2407,166327,204179
Sign Top,2408,61564,109551
Sign Bottom,2409,70280,77270
Sign Top,2410,65000,76248
Sign Top,2411,90000,115550
Sign Top,2412,1530,18346
Sign Top,2413,5200,5716
Sign Bottom,2414,253096,261775
Sign Top,2415,74000,104236
Sign Top,2416,86150,114955
Sign Top,2417,46015,61887
Sign Top,2418,85983,93400
Sign Bottom,2419,138441,165864
Sign Bottom,2420,83113,123237
Sign Bottom,2421,30013,75933
Sign Bottom,2422,96376,96570
Sign Top,2423,4635,14850
Sign Bottom,2424,44548,51744
Sign Top,2425,46751,62461
Sign Bottom,2426,36891,80044
Sign Bottom,2427,37470,72076
Sign Top,2428,47344,87002
Sign Bottom,2429,85224,123493
Sign Bottom,2430,48000,53891
Sign Top,2431,7,876
Sign Bottom,2432,194321,215578
Sign Bottom,2433,134039,147108
Sign Bottom,2434,105679,142991
Sign Top,2435,54359,70481
Sign Top,2436,78000,127969
Sign Bottom,2437,42500,84245
Sign Bottom,2438,153545,162775
Sign Top,2439,12000,14425
Sign Top,2440,2916,45151
Sign Bottom,2441,87133,103902
Sign Bottom,2442,38026,81577
Sign Bottom,2443,44298,83605
Sign Top,2444,20000,44378
Sign Bottom,2445,127300,150152
Sign Bottom,2446,83410,86741
Sign Bottom,2447,58723,77908
Sign Top,2448,55000,78176
Sign Top,2449,7668,43539
Sign Bottom,2450,262407,302374
Sign Top,2451,122267,142939
Sign Top,2452,48395,96203
Sign Bottom,2453,128296,132861
Sign Bottom,2454,93790,138922
Sign Top,2455,4203,32368
Sign Top,2456,72958,112810
Sign Bottom,2457,11857,46051
Sign Top,2458,62466,73341
Sign Top,2459,12553,17086
Sign Bottom,2460,30646,36135
Sign Bottom,2461,71751,89219
Sign Bottom,2462,194670,195128
Sign Bottom,2463,132384,154900
Sign Top,2464,37575,79402
Sign Top,2465,70021,102965
Sign Bottom,2466,7943,16248
Sign Bottom,2467,75773,121653
Sign Bottom,2468,51457,78112
Sign Top,2469,65144,97404
Sign Top,2470,0,31232
Sign Top,2471,103431,119556
Sign Top,2472,84,12700
Sign Top,2473,35000,45130
Sign Bottom,2474,79924,120847
Sign Bottom,2475,72695,106399
Sign Top,2476,127181,149863
Sign Top,2477,80500,104936
Sign Bottom,2478,55617,64414
Sign Bottom,2479,171060,188221
Sign Top,2480,39,47311
Sign Bottom,2481,40539,51135
Sign Top,2482,126076,134299
Sign Bottom,2483,68539,69917
Sign Bottom,2484,16674,25371
Sign Bottom,2485,48197,63495
Sign Top,2486,69104,71834
Sign Top,2487,122935,172357
Sign Top,2488,320,4348
Sign Bottom,2489,71455,103809
Sign Bottom,2490,86754,94970
Sign Bottom,2491,153433,191851
Sign Bottom,2492,117469,149561
Sign Bottom,2493,87419,112354
Sign Top,2494,10,21555
Sign Bottom,2495,84634,86559
Sign Bottom,2496,19978,43395
Sign Bottom,2497,115664,162844
Sign Top,2498,30202,79048
Sign Top,2499,1013,38782
Sign Bottom,2500,44732,80169
Sign Top,2501,55000,90994
Sign Top,2502,83000,112834
Sign Top,2503,86836,119857
Sign Top,2504,632,11727
Sign Top,2505,56981,67654
Sign Top,2506,161281,180844
Sign Bottom,2507,61815,77396
Sign Bottom,2508,85202,126022
Sign Top,2509,69900,106861
Sign Bottom,2510,129969,141914
Sign Top,2511,24000,58593
Sign Bottom,2512,26388,67558
Sign Top,2513,196162,200393
Sign Bottom,2514,40673,61569
Sign Bottom,2515,2547,45009
Sign Bottom,2516,59954,63841
Sign Top,2517,5148,13098
Sign Bottom,2518,49149,58324
Sign Bottom,2519,13582,56429
Sign Bottom,2520,48696,75706
Sign Top,2521,253,42299
Sign Top,2522,0,28836
Sign Bottom,2523,67874,92798
Sign Top,2524,0,30560
Sign Bottom,2525,9120,27875
Sign Bottom,2526,91969,96126
Sign Bottom,2527,116135,117155
Sign Top,2528,0,4345
Sign Top,2529,512,10253
Sign Bottom,2530,43933,67621
Sign Bottom,2531,15817,28022
Sign Top,2532,66913,107379
Sign Bottom,2533,166398,188183
Sign Top,2534,48999,91737
Sign Bottom,2535,35034,84328
Sign Top,2536,30335,77287
Sign Top,2537,57404,101351
Sign Top,2538,35129,78554
Sign Top,2539,85533,123740
Sign Top,2540,65199,71765
Sign Top,2541,39916,57643
Sign Top,2542,5200,38821
Sign Top,2543,125739,150346
Sign Bottom,2544,72020,89935
Sign Bottom,2545,164615,210188
Sign Top,2546,1325,23348
Sign Bottom,2547,68363,69976
Sign Bottom,2548,34550,58107
Sign Top,2549,159273,191873
Sign Bottom,2550,0,82
Sign Top,2551,35784,46300
Sign Bottom,2552,193545,208515
Sign Bottom,2553,32091,75996
Sign Bottom,2554,107700,122929
Sign Top,2555,18165,43175
Sign Bottom,2556,209651,211591
Sign Bottom,2557,60966,88603
Sign Top,2558,10498,15831
Sign Top,2559,94259,96850
Sign Bottom,2560,8261,18383
Sign Bottom,2561,19669,65424
Sign Top,2562,46860,80877
Sign Bottom,2563,167800,182480
Sign Top,2564,31000,42839
Sign Top,2565,58646,65606
Sign Bottom,2566,28535,48657
Sign Bottom,2567,24431,27328
Sign Bottom,2568,95245,97227
Sign Top,2569,36158,63733
Sign Top,2570,4800,50995
Sign Top,2571,165830,210583
Sign Top,2572,17942,25167
Sign Bottom,2573,9776,22756
Sign Top,2574,68953,78354
Sign Bottom,2575,176000,223661
Sign Top,2576,61500,93598
Sign Bottom,2577,121230,159638
Sign Top,2578,39070,84863
Sign Bottom,2579,97942,109802
Sign Top,2580,33835,81482
Sign Bottom,2581,20,24690
Sign Top,2582,23982,50667
Sign Bottom,2583,92000,135539
Sign Bottom,2584,86694,120972
Sign Top,2585,70000,74971
Sign Bottom,2586,174592,206779
Sign Top,2587,20000,58962
Sign Top,2588,90000,139050
Sign Bottom,2589,141867,148397
Sign Top,2590,59000,72863
Sign Bottom,2591,276021,309755
Sign Top,2592,0,28024
Sign Bottom,2593,34814,49953
Sign Bottom,2594,27757,44899
Sign Top,2595,44392,49098
Sign Bottom,2596,35456,47134
Sign Top,2597,860,22671
Sign Top,2598,429,25900
Sign Bottom,2599,79421,89818
Sign Top,2600,28095,48407
Sign Top,2601,632,20837
Sign Bottom,2602,24486,59115
Sign Top,2603,45377,75669
Sign Top,2604,160579,178878
Sign Top,2605,106290,146910
Sign Bottom,2606,54577,66697
Sign Top,2607,17,603
Sign Top,2608,25886,43109
Sign Bottom,2609,22807,38973
Sign Top,2610,38972,55076
Sign Bottom,2611,43604,48748
Sign Top,2612,188000,219874
Sign Top,2613,126997,129177
Sign Top,2614,81385,106051
Sign Top,2615,87593,113125
Sign Top,2616,13,7556
Sign Top,2617,227774,240116
Sign Top,2618,52,5767
Sign Top,2619,43677,68259
Sign Top,2620,100372,118518
Sign Top,2621,85962,98022
Sign Bottom,2622,22393,35756
Sign Bottom,2623,157098,196489
Sign Bottom,2624,112832,149702
Sign Bottom,2625,75000,82370
Sign Bottom,2626,195018,216325
Sign Top,2627,26400,48622
Sign Bottom,2628,66738,101332
Sign Bottom,2629,15488,25121
Sign Top,2630,4022,25735
Sign Top,2631,12,22502
Sign Bottom,2632,56614,93083
Sign Bottom,2633,20718,25783
Sign Top,2634,918,4963
Sign Bottom,2635,26506,59506
Sign Bottom,2636,18371,49692
Sign Bottom,2637,26907,62054
Sign Bottom,2638,32076,55564
Sign Bottom,2639,119785,129267
Sign Bottom,2640,59772,90293
Sign Bottom,2641,38441,52507
Sign Bottom,2642,24681,72498
Sign Top,2643,31219,50897
Sign Bottom,2644,129840,166211
Sign Top,2645,135450,144145
Sign Bottom,2646,43894,84046
Sign Top,2647,64924,108681
Sign Top,2648,852,17088
Sign Bottom,2649,56230,73591
Sign Top,2650,34983,75320
Sign Top,2651,18800,55987
Sign Bottom,2652,65005,88117
Sign Top,2653,52760,66039
Sign Bottom,2654,10968,44192
Sign Top,2655,55976,61953
Sign Bottom,2656,56885,58438
Sign Bottom,2657,90411,105920
Sign Top,2658,28213,74924
Sign Bottom,2659,2212,31197
Sign Bottom,2660,54318,68964
Sign Top,2661,29156,63521
Sign Bottom,2662,10698,12710
Sign Bottom,2663,113039,125823
Sign Top,2664,15000,29195
Sign Top,2665,741,23423
Sign Bottom,2666,45658,87069
Sign Bottom,2667,88920,99901
Sign Top,2668,290000,338097
Sign Top,2669,48987,97233
Sign Bottom,2670,71865,89073
Sign Top,2671,150929,192216
Sign Top,2672,75080,97777
Sign Top,2673,188081,225824
Sign Bottom,2674,55325,82553
Sign Top,2675,35105,66114
Sign Bottom,2676,148075,152479
Sign Bottom,2677,86854,125775
Sign Top,2678,12000,42551
Sign Top,2679,189,19119
Sign Top,2680,10547,48445
Sign Bottom,2681,42728,50297
Sign Top,2682,82028,124656
Sign Bottom,2683,31026,32193
Sign Bottom,2684,22348,38471
Sign Bottom,2685,87256,91091
Sign Bottom,2686,65764,92785
Sign Bottom,2687,19627,29737
Sign Top,2688,87175,121589
Sign Bottom,2689,11429,13789
Sign Top,2690,742,48983
Sign Bottom,2691,82159,122314
Sign Top,2692,53464,98909
Sign Top,2693,100,11136
Sign Bottom,2694,56540,65265
Sign Bottom,2695,14522,54948
Sign Top,2696,32393,43191
Sign Top,2697,68433,92619
Sign Top,2698,30686,45279
Sign Bottom,2699,60855,92510
Sign Top,2700,105000,138879
Sign Bottom,2701,76000,124640
Sign Top,2702,56000,91884
Sign Bottom,2703,51237,78417
Sign Bottom,2704,20875,35027
Sign Bottom,2705,69318,78995
Sign Top,2706,106340,133534
Sign Top,2707,35304,80974
Sign Top,2708,73170,101945
Sign Top,2709,2639,22980
Sign Top,2710,32000,67558
Sign Top,2711,22712,70569
Sign Top,2712,13903,48267
Sign Bottom,2713,57215,66295
Sign Bottom,2714,119928,124831
Sign Top,2715,110859,123190
Sign Top,2716,101726,129094
Sign Top,2717,82905,122577
Sign Bottom,2718,145046,148997
Sign Top,2719,64976,74407
Sign Bottom,2720,99966,125266
Sign Bottom,2721,140500,180264
Sign Top,2722,10732,55000
Sign Top,2723,53000,90917
Sign Bottom,2724,159354,167425
Sign Top,2725,28663,77867
Sign Top,2726,61895,78998
Sign Top,2727,54000,81159
Sign Bottom,2728,23377,66694
Sign Top,2729,2,21660
Sign Top,2730,106919,155378
Sign Bottom,2731,48153,75306
Sign Bottom,2732,99004,135188
Sign Bottom,2733,47748,70041
Sign Top,2734,10,3620
Sign Bottom,2735,171450,216733
Sign Bottom,2736,116956,148754
Sign Bottom,2737,88799,92087
Sign Bottom,2738,59013,83933
Sign Bottom,2739,62426,98680
Sign Bottom,2740,54125,102061
Sign Top,2741,162795,191767
Sign Top,2742,21,31168
Sign Top,2743,19713,29559
Sign Bottom,2744,130977,137130
Sign Top,2745,96244,144060
Sign Bottom,2746,105913,105984
Sign Bottom,2747,105938,111030
Sign Bottom,2748,42583,50265
Sign Top,2749,83200,108212
Sign Bottom,2750,132086,144084
Sign Bottom,2751,131730,175198
Sign Bottom,2752,24710,27561
Sign Top,2753,18800,30489
Sign Bottom,2754,43268,59535
Sign Bottom,2755,102200,132496
Sign Bottom,2756,75000,85168
Sign Top,2757,31443,68603
Sign Top,2758,4829,23139
Sign Bottom,2759,22152,38893
Sign Top,2760,143767,192290
Sign Top,2761,17457,41597
Sign Bottom,2762,142660,160970
Sign Top,2763,2781,12100
Sign Bottom,2764,162110,164165
Sign Bottom,2765,24585,24816
Sign Top,2766,74000,77236
Sign Top,2767,10314,47486
Sign Top,2768,10000,21519
Sign Top,2769,92080,114880
Sign Top,2770,100831,112321
Sign Top,2771,64194,110522
Sign Bottom,2772,58991,80620
Sign Top,2773,68007,86570
Sign Top,2774,7086,29257
Sign Top,2775,30000,68150
Sign Top,2776,0,42997
Sign Top,2777,73635,97441
Sign Top,2778,588,6619
Sign Top,2779,127145,170370
Sign Bottom,2780,171437,196517
Sign Top,2781,541,23760
Sign Top,2782,30581,56731
Sign Top,2783,166,40750
Sign Bottom,2784,55091,80369
Sign Bottom,2785,184096,207636
Sign Top,2786,12298,54254
Sign Top,2787,2053,30303
Sign Top,2788,0,25791
Sign Bottom,2789,3380,48081
Sign Bottom,2790,41978,76867
Sign Bottom,2791,31010,69932
Sign Bottom,2792,116841,121474
Sign Top,2793,58713,71997
Sign Top,2794,61052,92605
Sign Top,2795,33122,36882
Sign Bottom,2796,35531,59656
Sign Top,2797,17000,46965
Sign Top,2798,325,24996
Sign Bottom,2799,60174,62781
Sign Top,2800,8960,17004
Sign Bottom,2801,67863,69142
Sign Top,2802,199,21873
Sign Bottom,2803,28022,35115
Sign Top,2804,208,37975
Sign Bottom,2805,115239,151997
Sign Bottom,2806,21807,26429
Sign Bottom,2807,52608,80533
Sign Bottom,2808,73336,76851
Sign Top,2809,33359,42215
Sign Top,2810,28267,42519
Sign Bottom,2811,70170,96009
Sign Top,2812,114000,149557
Sign Bottom,2813,110939,119122
Sign Bottom,2814,112407,162083
Sign Top,2815,175607,214227
Sign Top,2816,54381,65440
Sign Top,2817,69564,88632
Sign Top,2818,56000,86164
Sign Top,2819,43175,63541
Sign Bottom,2820,40976,90286
Sign Top,2821,124365,151855
Sign Top,2822,0,13792
Sign Top,2823,102765,121564
Sign Bottom,2824,4631,15254
Sign Top,2825,54847,78902
Sign Top,2826,107171,144416
Sign Top,2827,41605,43142
Sign Top,2828,115000,151474
Sign Bottom,2829,36496,36667
Sign Bottom,2830,107768,111562
Sign Bottom,2831,113462,142659
Sign Bottom,2832,57284,95734
Sign Top,2833,30456,56196
Sign Top,2834,80754,123565
Sign Bottom,2835,152944,165243
Sign Bottom,2836,68421,69201
Sign Bottom,2837,79450,111329
Sign Top,2838,110132,138877
Sign Bottom,2839,179239,212150
Sign Top,2840,7570,45516
Sign Top,2841,108000,149111
Sign Bottom,2842,52078,58860
Sign Top,2843,1,21460
Sign Bottom,2844,72627,79989
Sign Top,2845,76739,108742
Sign Bottom,2846,35121,48129
Sign Top,2847,12,30640
Sign Bottom,2848,128932,167084
Sign Top,2849,168000,207721
Sign Top,2850,55514,79068
Sign Top,2851,147000,189317
Sign Bottom,2852,62261,90932
Sign Top,2853,38435,74407
Sign Top,2854,141116,171798
Sign Bottom,2855,80915,87849
Sign Top,2856,132533,162574
Sign Top,2857,7759,41578
Sign Bottom,2858,34500,44520
Sign Top,2859,196329,233382
Sign Top,2860,32522,33073
Sign Bottom,2861,8433,44507
Sign Bottom,2862,71725,91274
Sign Bottom,2863,94829,117914
Sign Top,2864,0,16323
Sign Top,2865,10000,28233
Sign Top,2866,85001,88887
Sign Bottom,2867,67307,89231
Sign Top,2868,15361,48184
Sign Bottom,2869,10926,52075
Sign Top,2870,39193,51442
Sign Top,2871,734,37855
Sign Top,2872,35234,59020
Sign Top,2873,9,37085
Sign Bottom,2874,39207,84359
Sign Top,2875,986,40101
Sign Bottom,2876,42600,74021
Sign Top,2877,7348,51193
Sign Bottom,2878,69975,118465
Sign Top,2879,1100,9163
Sign Top,2880,26664,35186
Sign Top,2881,76000,78227
Sign Top,2882,57000,90063
Sign Top,2883,53000,82887
Sign Top,2884,46861,70343
Sign Bottom,2885,10321,37232
Sign Bottom,2886,95668,126276
Sign Top,2887,700,16766
Sign Bottom,2888,27450,33415
Sign Bottom,2889,65218,95867
Sign Bottom,2890,60596,83896
Sign Bottom,2891,130157,175652
Sign Top,2892,39010,72576
Sign Top,2893,98535,144597
Sign Bottom,2894,65336,76903
Sign Bottom,2895,174802,197991
Sign Top,2896,128350,136622
Sign Bottom,2897,72599,83038
Sign Top,2898,56542,73868
Sign Bottom,2899,131629,161662
Sign Top,2900,68,38328
Sign Top,2901,3500,34416
Sign Top,2902,23223,71186
Sign Top,2903,70000,111105
Sign Top,2904,116740,149424
Sign Bottom,2905,91416,116858
Sign Top,2906,26173,39670
Sign Bottom,2907,190487,225966
Sign Bottom,2908,148123,192808
Sign Bottom,2909,70900,82484
Sign Bottom,2910,65187,87967
Sign Bottom,2911,4000,9598
Sign Bottom,2912,30340,39734
Sign Top,2913,90,43319
Sign Bottom,2914,65110,75188
Sign Bottom,2915,36000,44633
Sign Top,2916,110000,148342
Sign Bottom,2917,85274,93736
Sign Top,2918,5128,52077
Sign Bottom,2919,40470,50590
Sign Top,2920,42679,64272
Sign Bottom,2921,68394,93662
Sign Bottom,2922,82803,83604
Sign Bottom,2923,65275,74169
Sign Bottom,2924,72166,85814
Sign Top,2925,2,10857
Sign Bottom,2926,101728,151334
Sign Top,2927,88027,90621
Sign Bottom,2928,111926,129066
Sign Bottom,2929,17955,55955
Sign Bottom,2930,40263,74065
Sign Top,2931,47000,81221
Sign Top,2932,28956,49561
Sign Bottom,2933,177940,183627
Sign Bottom,2934,66942,107869
Sign Top,2935,150623,183294
Sign Bottom,2936,132000,175835
Sign Top,2937,16688,60106
Sign Bottom,2938,34163,38684
Sign Bottom,2939,140000,182187
Sign Bottom,2940,87784,109891
Sign Bottom,2941,150018,150376
Sign Top,2942,54360,72348
Sign Top,2943,107594,153650
Sign Bottom,2944,30777,56896
Sign Bottom,2945,41229,79741
Sign Top,2946,43072,87629
Sign Top,2947,139000,183430
Sign Top,2948,96895,108625
Sign Bottom,2949,75061,79813
Sign Bottom,2950,11399,22972
Sign Bottom,2951,7128,24495
Sign Bottom,2952,60000,90582
Sign Top,2953,126721,167390
Sign Top,2954,34957,80039
Sign Bottom,2955,73830,92118
Sign Bottom,2956,98396,115486
Sign Bottom,2957,15000,35796
Sign Bottom,2958,200687,207539
Sign Bottom,2959,35680,60727
Sign Top,2960,51069,56611
Sign Top,2961,737,18170
Sign Bottom,2962,6892,56040
Sign Top,2963,44951,52519
Sign Bottom,2964,51778,90636
Sign Bottom,2965,96000,111780
Sign Bottom,2966,78648,100000
Sign Top,2967,54582,61294
Sign Bottom,2968,97188,131847
Sign Top,2969,158899,201435
Sign Top,2970,30,4896
Sign Bottom,2971,105326,150907
Sign Bottom,2972,98056,104380
Sign Top,2973,160818,190939
Sign Bottom,2974,66507,89810
Sign Top,2975,5848,6988
Sign Bottom,2976,57167,106659
Sign Top,2977,185656,208517
Sign Top,2978,17175,59573
Sign Bottom,2979,102503,150579
Sign Top,2980,82196,94188
Sign Top,2981,83564,107783
Sign Top,2982,120152,156288
Sign Top,2983,90000,131213
Sign Bottom,2984,10077,51756
Sign Top,2985,82942,87257
Sign Bottom,2986,61433,85148
Sign Bottom,2987,31273,32631
Sign Bottom,2988,41418,77234
Sign Bottom,2989,100017,127985
Sign Bottom,2990,93496,108489
Sign Top,2991,37056,80310
Sign Bottom,2992,124830,150973
Sign Bottom,2993,192803,200113
Sign Top,2994,49898,73837
Sign Bottom,2995,19780,60750
Sign Top,2996,7,12165
Sign Top,2997,63218,71465
Sign Bottom,2998,75642,85963
Sign Bottom,2999,35401,40082
Sign Top,3000,56614,95577
Sign Top,3001,20424,65104
Sign Bottom,3002,45340,55373
Sign Bottom,3003,168305,202183
Sign Top,3004,55712,95187
Sign Bottom,3005,131966,175284
Sign Top,3006,60891,94391
Sign Top,3007,41000,43417
Sign Bottom,3008,18123,52827
Sign Top,3009,155288,173870
Sign Bottom,3010,105557,122187
Sign Top,3011,120188,170050
Sign Bottom,3012,27417,52610
Sign Bottom,3013,65120,90788
Sign Top,3014,92000,133308
Sign Bottom,3015,45605,46699
Sign Bottom,3016,84555,116945
Sign Bottom,3017,10326,28035
Sign Top,3018,5738,40346
Sign Bottom,3019,83836,99861
Sign Bottom,3020,183701,224865
Sign Top,3021,28226,58924
Sign Top,3022,95936,103566
Sign Bottom,3023,216003,241448
Sign Top,3024,109000,122272
Sign Top,3025,12000,50536
Sign Top,3026,10684,54498
Sign Bottom,3027,53265,60557
Sign Bottom,3028,54957,89796
Sign Bottom,3029,22862,35258
Sign Bottom,3030,44350,75814
Sign Bottom,3031,76000,93629
Sign Bottom,3032,129291,149384
Sign Bottom,3033,116069,147620
Sign Bottom,3034,212704,260597
Sign Bottom,3035,22234,53855
Sign Bottom,3036,95676,144820
Sign Top,3037,11303,44616
Sign Bottom,3038,133307,138511
Sign Top,3039,8554,39440
Sign Top,3040,2313,36571
Sign Bottom,3041,78022,82183
Sign Bottom,3042,29927,42977
Sign Bottom,3043,72284,86372
Sign Top,3044,46201,78262
Sign Bottom,3045,55935,65767
Sign Top,3046,60774,74301
Sign Top,3047,23479,41708
Sign Top,3048,31000,67204
Sign Bottom,3049,91200,95502
Sign Top,3050,56143,66167
Sign Top,3051,25292,74015
Sign Bottom,3052,163500,165582
Sign Bottom,3053,4897,15623
Sign Top,3054,67414,86859
Sign Bottom,3055,86597,132872
Sign Top,3056,18286,29304
Sign Top,3057,14885,62006
Sign Top,3058,127000,129762
Sign Bottom,3059,69540,88703
Sign Bottom,3060,60340,65999
Sign Bottom,3061,21385,70877
Sign Bottom,3062,75339,123712
Sign Top,3063,1198,48812
Sign Top,3064,30000,41307
Sign Bottom,3065,28688,53545
Sign Top,3066,186471,214541
Sign Top,3067,65491,78011
Sign Bottom,3068,104447,110457
Sign Top,3069,3570,35516
Sign Bottom,3070,23172,31284
Sign Top,3071,151,26414
Sign Bottom,3072,139803,174933
Sign Top,3073,11394,37559
Sign Bottom,3074,130002,138497
Sign Bottom,3075,136263,161393
Sign Bottom,3076,60729,72197
Sign Bottom,3077,114635,117576
Sign Top,3078,202973,248060
Sign Bottom,3079,50100,92700
Sign Top,3080,39678,71489
Sign Top,3081,0,32083
Sign Bottom,3082,40226,86684
Sign Bottom,3083,122720,154756
Sign Top,3084,104970,141070
Sign Bottom,3085,20150,48826
Sign Bottom,3086,166545,195247
Sign Top,3087,105260,133490
Sign Top,3088,14000,25285
Sign Bottom,3089,23949,62482
Sign Bottom,3090,160049,200964
Sign Top,3091,169872,206423
Sign Top,3092,22895,64035
Sign Bottom,3093,74509,120822
Sign Top,3094,228986,278480
Sign Bottom,3095,85721,119380
Sign Bottom,3096,82792,125195
Sign Top,3097,20000,25650
Sign Bottom,3098,30423,64939
Sign Top,3099,83990,99755
Sign Bottom,3100,16574,46998
